Id,Start_time,Completion_time,Email,Name,visit_frequency,favorite_product,rating,loyality_program,program_preference,suggestions
1,4/8/2026 14:40,4/8/2026 14:40,anonymous,,3 to 5 days a week,Cookies,Excellent;Good;Average;Poor;,Maybe,Points system,none
2,4/8/2026 15:27,4/8/2026 15:27,anonymous,,Once a week,Donuts,Excellent;Good;Average;Poor;,Yes,Buy one get one free,Nothing 
3,4/8/2026 21:51,4/8/2026 21:51,anonymous,,A few times a month,Cookies,,Yes,Points system,
4,4/8/2026 22:54,4/8/2026 22:56,anonymous,,Once a week,Donuts,,Maybe,Buy one get one free,make it popular 
5,4/9/2026 9:45,4/9/2026 9:49,anonymous,,Never,Other,Poor;Good;Average;Excellent;,No,free items,
6,4/9/2026 11:33,4/9/2026 11:35,anonymous,,3 to 5 days a week,Cookies,,Yes,Buy one get one free,Can you guys make milkshakes?
7,4/9/2026 11:38,4/9/2026 11:38,anonymous,,3 to 5 days a week,Cookies,,Yes,Buy one get one free,Nothing at the moment! 
8,4/9/2026 16:29,4/9/2026 16:30,anonymous,,3 to 5 days a week,Cookies,,Yes,Discounts,
9,4/9/2026 16:30,4/9/2026 16:31,anonymous,,Daily,Cake,,Maybe,Buy one get one free,Better customer service 
10,4/9/2026 16:32,4/9/2026 16:32,anonymous,,Once a week,Cookies,,Yes,Buy one get one free,
11,4/10/2026 12:07,4/10/2026 12:08,anonymous,,Never,Shakes,,No,Wow good job so far everyone else's other box didnt let you type in it genuinely nice work,Nothing its perfect wow 
